Id 	 Ground_Truth 	 Prediction
 1050 	1	-1
 858 	1	-1
 990 	-1	-1
 2096 	-1	-1
 805 	-1	-1
 1243 	1	-1
 2135 	-1	-1
 750 	-1	-1
 2122 	-1	-1
 630 	1	1
 2177 	-1	-1
 2144 	-1	1
 751 	-1	-1
 1346 	-1	-1
 914 	-1	-1
 935 	-1	-1
 932 	1	-1
 1163 	-1	-1
 1238 	-1	-1
 2108 	-1	1
 1171 	-1	-1
 2182 	-1	-1
 851 	1	-1
 1354 	1	-1
 1102 	-1	-1
 1229 	-1	-1
 1021 	-1	-1
 1397 	-1	-1
 1248 	-1	-1
 865 	-1	-1
 998 	-1	-1
 2100 	-1	-1
 827 	1	-1
 1001 	-1	-1
 2179 	1	-1
 2148 	1	-1
 2101 	-1	-1
 1016 	-1	-1
 1053 	1	-1
 1345 	-1	-1
 1107 	-1	-1
 837 	1	-1
 870 	-1	-1
 1213 	-1	-1
 767 	1	-1
 1340 	-1	-1
 2167 	-1	-1
 1093 	1	-1
 1430 	-1	-1
 1378 	-1	-1
 1436 	-1	-1
 1225 	-1	-1
 2099 	-1	-1
 1385 	-1	-1
 1396 	-1	-1
 2102 	-1	-1
 1369 	-1	-1
 957 	1	-1
 2157 	-1	-1
 2121 	-1	-1
 1391 	-1	-1
 761 	-1	-1
 1132 	1	-1
 1304 	-1	-1
 740 	-1	-1
 811 	-1	-1
 1252 	1	-1
 1040 	-1	-1
 911 	-1	-1
 1008 	-1	-1
 1095 	-1	-1
 1098 	1	-1
 1133 	-1	-1
 734 	-1	-1
 875 	1	-1
 2124 	1	-1
 1044 	-1	-1
 1186 	-1	-1
 1124 	1	-1
 1094 	-1	-1
 2131 	-1	-1
 749 	-1	-1
 814 	-1	-1
 2169 	-1	-1
